"artist","genre"
"MAX RICHTER","compositional ambient minimal modern classical soundtrack"
"NICOLAS JAAR","alternative dance downtempo electronic indie r&b indietronica microhouse minimal techno new rave trip hop"
"THEO CROKER","contemporary jazz indie jazz jazz brass"
"JACQUES",""
"ALT-J","folk-pop indie pop indie rock"
"SOULWAX","alternative dance big beat dance-punk electronic filter house indietronica mashup new rave synthpop"
"PHOENIX","alternative dance folk-pop indie pop indie rock indietronica new rave synthpop"
"SARAH MCKENZIE","chamber pop"
"MAGGIE ROGERS","chamber pop"
"LUKAS GRAHAM","chamber pop"
"HERBIE HANCOCK","adult standards bebop classic funk rock contemporary jazz contemporary post-bop cool jazz funk hard bop jazz jazz blues jazz christmas jazz funk jazz fusion soul soul jazz vocal jazz"
"CHILLY GONZALES","chamber pop"
"JON CLEARY","chamber pop"
"ROMARE","bass music chamber psych float house fluxwork french indietronica future garage indie jazz indie r&b indietronica microhouse new rave ninja wonky"
"SUPERPOZE","chamber pop"
"BONOBO","downtempo electronic indie r&b indietronica ninja nu jazz trip hop tropical house"
"BETH DITTO","chamber pop"
"PET SHOP BOYS","dance pop dance rock electronic europop new romantic new wave new wave pop permanent wave synthpop"
"AMBROSE AKINMUSIRE","chamber pop"
"MARE NOSTRUM",""
"DUA LIPA","chamber pop"
"LIANNE LA HAVAS","chamber pop"
"HAMILTON LEITHAUSER","chamber pop folk-pop indie folk indie pop indie r&b indie rock stomp and holler"
"KEVIN MORBY","chamber pop"
"FLEET FOXES","chamber pop"
"TROMBONE SHORTY & ORLEANS AVENUE","chamber pop"
"USHER & THE ROOTS","dance pop dwn trap pop pop christmas pop rap r&b rap urban contemporary"
"MARIALY PACHECO & JOO KRAUS DUETS",""
"WOMAN TO WOMAN","chamber pop"
"LIL UZI VERT","chamber pop"
"GUCCI MANE","dirty south rap dwn trap pop rap rap southern hip hop trap music"
"DE LA SOUL","alternative hip hop east coast hip hop gangster rap hardcore hip hop hip hop neo soul rap southern hip hop turntablism"
"MS. LAURYN HILL","chamber pop"
"TRILOK GURTU QUARTET","chamber pop"
"TASH SULTANA","chamber pop"
"PETER DOHERTY","chamber pop"
"LP",""
"MACY GRAY","neo soul pop christmas pop rock r&b soul soul christmas urban contemporary vocal jazz"
"TOM JONES","adult standards brill building pop british invasion christmas disco mellow gold soft rock"
"JOHN SCOFIELD","bebop contemporary jazz contemporary post-bop cool jazz gypsy jazz jazz jazz blues jazz christmas jazz funk jazz fusion soul jazz"
"YOUNGR","chamber pop"
"ROOSEVELT","alternative dance athens indie chillwave indie emo indie poptimism indietronica shimmer pop shiver pop"
"THE 1975","chamber pop"
"JOHN NEWMAN","pop tropical house"
"GRACE JONES","art rock dance rock disco electronic new romantic new wave new wave pop synthpop"
"ESTEBAN CASTRO","chamber pop"
"FOURPLAY","jazz christmas jazz funk jazz fusion smooth jazz"
"SEVERAL DEFINITIONS","chamber pop"
"SOLOMUN","deep disco house deep euro house deep melodic euro house german techno house microhouse minimal techno tech house tropical house"
"TALE OF US","deep disco house deep melodic euro house house microhouse minimal tech house minimal techno tech house"
"BRYAN FERRY","art rock dance rock glam rock melancholia mellow gold new romantic new wave new wave pop soft rock synthpop"
"BRIAN WILSON","christian christmas gospel"
"SOMI","vocal jazz"
"DAVE GRUSIN","adult standards jazz christmas jazz funk jazz fusion smooth jazz soundtrack"
"LEE RITENOUR","jazz christmas jazz funk jazz fusion smooth jazz"
"CASEY","deep underground hip hop dwn trap escape room hip hop indie r&b pop rap rap southern hip hop trap music underground hip hop underground pop rap"
"YOUSSOUPHA","francoton french hip hop french pop french reggae trap francais"
"CREW PELIGROSOS","chamber pop"
"KERY JAMES","francoton french hip hop french pop french reggae trap francais"
"THE KILLS","alternative dance alternative rock blues-rock dance-punk garage rock indie pop indie rock indietronica neo-psychedelic new rave noise pop synthpop"
"KASABIAN","alt-indie rock alternative dance alternative rock britpop dance-punk electronic funk rock garage rock indie rock new rave rock"
"MIKE STERN & RANDY BRECKER BAND",""
"PARADIS","filter house french indie pop french indietronica nu disco"
"METRONOMY","chamber pop"
"LA FEMME","french indie pop french indietronica french rock new rave"
"SAMPHA","deep indie r&b indie r&b"
"SOLANGE","dance pop deep indie r&b escape room hip pop indie r&b neo soul pop pop christmas pop rap r&b soul urban contemporary"
"ERYKAH BADU","dance pop deep indie r&b escape room hip hop hip pop indie r&b neo soul pop quiet storm r&b soul urban contemporary"
"DAVY KNOWLES","modern blues"
"THE LEMON TWIGS","chamber pop"
"SLAVES",""
"ROYAL BLOOD","alt-indie rock alternative rock garage rock indie rock rock"
"KAYTRANADA","chamber pop"
"THE CINEMATIC ORCHESTRA","acid jazz downtempo electronic ninja nu jazz trip hop"
"LONDON GRAMMAR","chamber pop"
"ARTA JEKABSONE","chamber pop"
"SHABAKA & THE ANCESTORS",""
"YELLO","dance rock electronic new romantic new wave new wave pop synthpop zolo"
"GEORGE BENSON","adult standards classic funk rock disco jazz funk jazz fusion mellow gold motown quiet storm smooth jazz soft rock soul soul jazz vocal jazz"
"IBRAHIM MAALOUF","chamber pop"
"JAMES HUNTER","funk soul"
"MAVIS STAPLES","country blues funk jazz blues memphis soul modern blues new orleans blues roots rock soul soul blues soul christmas southern soul"
"TINARIWEN","afrobeat desert blues mande pop world"
"MICHAEL KIWANUKA","chamber pop"
